Period;a1;a2;a3;a4;a5;a6;a7;a8;a9;c1;Vcon;Vref;c;n;b1;b2;sd1;sd2;sd;Nrec;Neq;Nst
0;2.52977;0.0029;-0.05496;-1.31001;0.2529;7.5;-0.5096;-0.1091;0.0937;6.75;1000;750;2.5;3.2;-0.41997;-0.28846;0.6375;0.3581;0.7312;1041;221;322
-1;6.13498;0.0029;-0.12091;-1.04013;0.2529;7.5;-0.5096;-0.0616;0.063;6.75;1000;750;2.5;3.2;-0.72057;-0.19688;0.6143;0.3485;0.7063;1041;221;322
0.01;2.54832;0.0029;-0.05434;-1.31268;0.2529;7.5;-0.5096;-0.1115;0.0953;6.75;1000;750;2.5;3.2;-0.41729;-0.28685;0.6389;0.3607;0.7337;1041;221;322
0.02;2.6442;0.0029;-0.05452;-1.33135;0.2529;7.5;-0.5096;-0.104;0.1029;6.75;1000;750;2.5;3.2;-0.39998;-0.28241;0.6434;0.3615;0.738;1041;221;322
0.03;2.77723;0.0029;-0.05196;-1.35509;0.2529;7.5;-0.5096;-0.0973;0.1148;6.75;1000;750;2.5;3.2;-0.34799;-0.26842;0.6569;0.3617;0.7499;1041;221;322
0.04;2.92666;0.0029;-0.04657;-1.38259;0.2529;7.5;-0.5096;-0.0884;0.1073;6.75;1000;750;2.5;3.2;-0.27572;-0.24759;0.6693;0.353;0.7567;1041;221;322
0.05;3.09355;0.0029;-0.04168;-1.41008;0.2529;7.5;-0.5096;-0.0853;0.1052;6.75;1000;750;2.5;3.2;-0.21231;-0.22385;0.6773;0.3612;0.7676;1041;221;322
0.075;3.38462;0.0029;-0.03506;-1.44268;0.2529;7.5;-0.5096;-0.0779;0.0837;6.75;1000;750;2.5;3.2;-0.14427;-0.17525;0.6791;0.3853;0.7808;1041;221;322
0.1;3.61906;0.0029;-0.03936;-1.4687;0.2529;7.5;-0.5096;-0.0749;0.0761;6.75;1000;750;2.5;3.2;-0.27064;-0.29293;0.6851;0.416;0.8015;1041;221;322
0.11;3.66537;0.0029;-0.04081;-1.47079;0.2529;7.5;-0.5096;-0.0704;0.0707;6.75;1000;750;2.5;3.2;-0.31025;-0.31837;0.6884;0.4163;0.8045;1041;221;322
0.12;3.68544;0.0029;-0.04295;-1.4652;0.2529;7.5;-0.5096;-0.0604;0.0653;6.75;1000;750;2.5;3.2;-0.34796;-0.3386;0.696;0.4118;0.8087;1041;221;322
0.13;3.70155;0.0029;-0.04581;-1.45986;0.2529;7.5;-0.5096;-0.049;0.0617;6.75;1000;750;2.5;3.2;-0.39668;-0.36646;0.6997;0.4102;0.8111;1041;221;322
0.14;3.70871;0.0029;-0.04848;-1.45433;0.2529;7.5;-0.5096;-0.0377;0.0581;6.75;1000;750;2.5;3.2;-0.43996;-0.38417;0.7032;0.4028;0.8104;1041;221;322
0.15;3.70477;0.0029;-0.05156;-1.44613;0.2529;7.5;-0.5096;-0.0265;0.0545;6.75;1000;750;2.5;3.2;-0.48313;-0.39551;0.7011;0.3978;0.8061;1041;221;322
0.16;3.65565;0.0029;-0.0535;-1.42989;0.2529;7.5;-0.5096;-0.0194;0.0509;6.75;1000;750;2.5;3.2;-0.52431;-0.40869;0.6997;0.3989;0.8054;1041;221;322
0.17;3.59764;0.0029;-0.05583;-1.4111;0.2529;7.5;-0.5096;-0.0125;0.0507;6.75;1000;750;2.5;3.2;-0.5568;-0.41528;0.697;0.403;0.8051;1041;221;322
0.18;3.53732;0.0029;-0.0583;-1.39329;0.2529;7.5;-0.5096;-0.0056;0.0502;6.75;1000;750;2.5;3.2;-0.58922;-0.42717;0.6956;0.4041;0.8045;1041;221;322
0.19;3.47722;0.0029;-0.0609;-1.37648;0.2529;7.5;-0.5096;0;0.0497;6.75;1000;750;2.5;3.2;-0.62635;-0.4413;0.6915;0.4017;0.7997;1041;221;322
0.2;3.40112;0.0029;-0.0621;-1.3577;0.2529;7.5;-0.5096;0;0.0493;6.75;1000;750;2.5;3.2;-0.65315;-0.44644;0.6922;0.3965;0.7977;1041;221;322
0.22;3.27214;0.0029;-0.06461;-1.32624;0.2529;7.5;-0.5096;0;0.0488;6.75;1000;750;2.5;3.2;-0.68711;-0.44872;0.6893;0.4005;0.7972;1041;221;322
0.24;3.15842;0.0029;-0.06791;-1.29833;0.2529;7.5;-0.5096;0;0.0483;6.75;1000;750;2.5;3.2;-0.72744;-0.46341;0.6942;0.3919;0.7972;1041;221;322
0.26;3.09498;0.0029;-0.07344;-1.27945;0.2529;7.5;-0.5096;0;0.0478;6.75;1000;750;2.5;3.2;-0.77335;-0.48705;0.6938;0.3898;0.7958;1041;221;322
0.28;2.9809;0.0029;-0.07698;-1.25442;0.2529;7.5;-0.5096;0;0.0474;6.75;1000;750;2.5;3.2;-0.80508;-0.47334;0.6877;0.3883;0.7898;1041;221;322
0.3;2.87449;0.0029;-0.08126;-1.22665;0.2529;7.5;-0.5096;0;0.0469;6.75;1000;750;2.5;3.2;-0.82609;-0.4573;0.6897;0.3894;0.792;1041;221;322
0.32;2.72364;0.0029;-0.08387;-1.19143;0.2529;7.5;-0.5096;0;0.0464;6.75;1000;750;2.5;3.2;-0.8408;-0.44267;0.6947;0.3941;0.7987;1041;221;322
0.34;2.60904;0.0029;-0.08816;-1.16231;0.2529;7.5;-0.5096;0;0.0459;6.75;1000;750;2.5;3.2;-0.86251;-0.43888;0.6939;0.3937;0.7978;1041;221;322
0.36;2.54266;0.0029;-0.09239;-1.14444;0.2529;7.5;-0.5096;0;0.0459;6.75;1000;750;2.5;3.2;-0.87479;-0.4382;0.6945;0.3997;0.8013;1041;221;322
0.38;2.46615;0.0029;-0.09576;-1.127;0.2529;7.5;-0.5096;0;0.0429;6.75;1000;750;2.5;3.2;-0.88522;-0.43678;0.6971;0.4012;0.8043;1041;221;322
0.4;2.40119;0.0029;-0.09885;-1.11318;0.2529;7.5;-0.5096;0;0.04;6.75;1000;750;2.5;3.2;-0.89517;-0.43008;0.6971;0.4012;0.8043;1041;221;322
0.42;2.3454;0.0029;-0.10198;-1.10318;0.2529;7.5;-0.5096;0;0.0374;6.75;1000;750;2.5;3.2;-0.90875;-0.4219;0.6955;0.3946;0.7996;1041;221;322
0.44;2.28213;0.0029;-0.10464;-1.09241;0.2529;7.5;-0.5096;0;0.0349;6.75;1000;750;2.5;3.2;-0.91922;-0.40903;0.6891;0.3985;0.796;1041;221;322
0.46;2.2344;0.0029;-0.10771;-1.08445;0.2529;7.5;-0.5096;0;0.0323;6.75;1000;750;2.5;3.2;-0.9267;-0.39442;0.6825;0.4056;0.7939;1041;221;322
0.48;2.20123;0.0029;-0.11199;-1.07592;0.2529;7.5;-0.5096;0;0.0297;6.75;1000;750;2.5;3.2;-0.9372;-0.38462;0.6785;0.4068;0.7911;1041;221;322
